WD,WS
9.000000000000000000e+01,6.000000000000000000e+00
9.242351736065849366e+01,6.000000000000000000e+00
9.326601944460736604e+01,6.000000000000000000e+00
9.246705499050493415e+01,6.000000000000000000e+00
9.455958331245355453e+01,6.000000000000000000e+00
9.928003857148725331e+01,6.000000000000000000e+00
1.023804297480600383e+02,6.000000000000000000e+00
1.016869815446768968e+02,6.000000000000000000e+00
1.062642675427914014e+02,6.000000000000000000e+00
1.017418485538403559e+02,6.000000000000000000e+00
1.040696665627572344e+02,6.000000000000000000e+00
1.058263310555711882e+02,6.000000000000000000e+00
1.060963827335127405e+02,6.000000000000000000e+00
1.067662572522365423e+02,6.000000000000000000e+00
1.089957097447079519e+02,6.000000000000000000e+00
1.108217432463605832e+02,6.000000000000000000e+00
1.137748700473534740e+02,6.000000000000000000e+00
1.099033252693714076e+02,6.000000000000000000e+00
1.068949515910851176e+02,6.000000000000000000e+00
1.091081438808126478e+02,6.000000000000000000e+00
1.080468171056409687e+02,6.000000000000000000e+00
1.064386711368191669e+02,6.000000000000000000e+00
1.029731279975353715e+02,6.000000000000000000e+00
9.897886814364755992e+01,6.000000000000000000e+00
9.805133921219834292e+01,6.000000000000000000e+00
9.888049385686338155e+01,6.000000000000000000e+00
1.012876990664801866e+02,6.000000000000000000e+00
1.049913074842370690e+02,6.000000000000000000e+00
1.096565690882638506e+02,6.000000000000000000e+00
1.092122176417860260e+02,6.000000000000000000e+00
1.082164476325028630e+02,6.000000000000000000e+00
1.062058439421369798e+02,6.000000000000000000e+00
1.094894446095681673e+02,6.000000000000000000e+00
1.135878563094757254e+02,6.000000000000000000e+00
1.162492230619886726e+02,6.000000000000000000e+00
1.119323709051279252e+02,6.000000000000000000e+00
1.129926361048860599e+02,6.000000000000000000e+00
1.173847974291698506e+02,6.000000000000000000e+00
1.134062240066205192e+02,6.000000000000000000e+00
1.181816191710200457e+02,6.000000000000000000e+00
1.167485064147649467e+02,6.000000000000000000e+00
1.182903780981555428e+02,6.000000000000000000e+00
1.145182351609574880e+02,6.000000000000000000e+00
1.191317570950933060e+02,6.000000000000000000e+00
1.206435713668094678e+02,6.000000000000000000e+00
1.250103494657527108e+02,6.000000000000000000e+00
1.290986225184967964e+02,6.000000000000000000e+00
1.284687006308381001e+02,6.000000000000000000e+00
1.328013102247120969e+02,6.000000000000000000e+00
1.348634827091356669e+02,6.000000000000000000e+00
1.325348490165641806e+02,6.000000000000000000e+00
1.293325130307237885e+02,6.000000000000000000e+00
1.308880465793122596e+02,6.000000000000000000e+00
1.341083247419821873e+02,6.000000000000000000e+00
1.350000000000000000e+02,6.000000000000000000e+00
1.350000000000000000e+02,6.000000000000000000e+00
1.316277253754939238e+02,6.000000000000000000e+00
1.294441873068367386e+02,6.000000000000000000e+00
1.303262780363229467e+02,6.000000000000000000e+00
1.264437721300353417e+02,6.000000000000000000e+00
1.241389949545723397e+02,6.000000000000000000e+00
1.191588389650302133e+02,6.000000000000000000e+00
1.231244727055002528e+02,6.000000000000000000e+00
1.274277472876880495e+02,6.000000000000000000e+00
1.258300868160619927e+02,6.000000000000000000e+00
1.250558973246289156e+02,6.000000000000000000e+00
1.267578609560909655e+02,6.000000000000000000e+00
1.278702468712937730e+02,6.000000000000000000e+00
1.294794769325771142e+02,6.000000000000000000e+00
1.295501049726268263e+02,6.000000000000000000e+00
1.308998375221015351e+02,6.000000000000000000e+00
1.269822500372035705e+02,6.000000000000000000e+00
1.314942571929603048e+02,6.000000000000000000e+00
1.268285723362189117e+02,6.000000000000000000e+00
1.227986620001778988e+02,6.000000000000000000e+00
1.262681296818864922e+02,6.000000000000000000e+00
1.273918172214665674e+02,6.000000000000000000e+00
1.293933317611354710e+02,6.000000000000000000e+00
1.298959330394973222e+02,6.000000000000000000e+00
1.330099471932456936e+02,6.000000000000000000e+00
1.344537679492349866e+02,6.000000000000000000e+00
1.314285398049246112e+02,6.000000000000000000e+00
1.341617664247735036e+02,6.000000000000000000e+00
1.326078086344904534e+02,6.000000000000000000e+00
1.350000000000000000e+02,6.000000000000000000e+00
1.334129814514380712e+02,6.000000000000000000e+00
1.350000000000000000e+02,6.000000000000000000e+00
1.322342957388458160e+02,6.000000000000000000e+00
1.336182950667936780e+02,6.000000000000000000e+00
1.299918664807857169e+02,6.000000000000000000e+00
1.262858572767634655e+02,6.000000000000000000e+00
1.277986145828243991e+02,6.000000000000000000e+00
1.299727787088809805e+02,6.000000000000000000e+00
1.259676584227608913e+02,6.000000000000000000e+00
1.267429150641840891e+02,6.000000000000000000e+00
1.258882433440067246e+02,6.000000000000000000e+00
1.222401031497500696e+02,6.000000000000000000e+00
1.224162417372698286e+02,6.000000000000000000e+00
1.180634894232856738e+02,6.000000000000000000e+00
1.220455697298808104e+02,6.000000000000000000e+00
1.179899426069702173e+02,6.000000000000000000e+00
1.216184784158541845e+02,6.000000000000000000e+00
1.240031992205899201e+02,6.000000000000000000e+00
1.201483144814664286e+02,6.000000000000000000e+00
1.205751898906703161e+02,6.000000000000000000e+00
1.252766966136229883e+02,6.000000000000000000e+00
1.227474690265535884e+02,6.000000000000000000e+00
1.234817266589403602e+02,6.000000000000000000e+00
1.241620778895358654e+02,6.000000000000000000e+00
1.225770031701885756e+02,6.000000000000000000e+00
1.187542697698966805e+02,6.000000000000000000e+00
1.191993061839418857e+02,6.000000000000000000e+00
1.198779557298918377e+02,6.000000000000000000e+00
1.240233533771868650e+02,6.000000000000000000e+00
1.252873596391060431e+02,6.000000000000000000e+00
1.252435987609919152e+02,6.000000000000000000e+00
1.220980440809134961e+02,6.000000000000000000e+00
1.209858353200571770e+02,6.000000000000000000e+00
1.217128782227397465e+02,6.000000000000000000e+00
1.239857971249188324e+02,6.000000000000000000e+00
1.288631317882372684e+02,6.000000000000000000e+00
1.257810178075966405e+02,6.000000000000000000e+00
1.275108578277896214e+02,6.000000000000000000e+00
1.266641959733534009e+02,6.000000000000000000e+00
1.280292777277468588e+02,6.000000000000000000e+00
1.230889813822667662e+02,6.000000000000000000e+00
1.254219374060873804e+02,6.000000000000000000e+00
1.286689419558587417e+02,6.000000000000000000e+00
1.241270595429521677e+02,6.000000000000000000e+00
1.226904851852869882e+02,6.000000000000000000e+00
1.198947215991103974e+02,6.000000000000000000e+00
1.213831642932210002e+02,6.000000000000000000e+00
1.172472377556575225e+02,6.000000000000000000e+00
1.156380417494584520e+02,6.000000000000000000e+00
1.172237895131768965e+02,6.000000000000000000e+00
1.205279368834233935e+02,6.000000000000000000e+00
1.174175234676527708e+02,6.000000000000000000e+00
1.125638521566897055e+02,6.000000000000000000e+00
1.097765634760682616e+02,6.000000000000000000e+00
1.125769969009785427e+02,6.000000000000000000e+00
1.076178404987859807e+02,6.000000000000000000e+00
1.095170487137994968e+02,6.000000000000000000e+00
1.066149728291993597e+02,6.000000000000000000e+00
1.099023878675518091e+02,6.000000000000000000e+00
1.129815774058734661e+02,6.000000000000000000e+00
1.173965844583003957e+02,6.000000000000000000e+00
